Event ID,Restaurant ID,Restaurant Name,Photos Url,Title,Start Date,End Date
NA,902109,Sheba Kuzhimandhi,NA,NA,NA,NA
NA,900533,Paragon,NA,NA,NA,NA
NA,95421,Dhe Puttu,NA,NA,NA,NA
NA,900668,KFC,NA,NA,NA,NA
NA,900524,Cafe 17,NA,NA,NA,NA
NA,901622,The Grill Lab,NA,NA,NA,NA
NA,901665,Double Roti,NA,NA,NA,NA
NA,95488,Cafe d' arabia,NA,NA,NA,NA
NA,18153238,Hotel Harsh Dhaba,NA,NA,NA,NA
NA,900300,Real Arabia,NA,NA,NA,NA
NA,901830,Mocha Art Cafe,NA,NA,NA,NA
NA,900561,Tonico Cafe,NA,NA,NA,NA
NA,900551,Aavi,NA,NA,NA,NA
NA,18153935,Galito's,NA,NA,NA,NA
NA,95333,Chiyang,NA,NA,NA,NA
NA,100242,Shree Agarwal Caterers,NA,NA,NA,NA
336485,18748726,The Night Jar,https://www.zomato.com/jaipur/the-night-jar-mi-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Wow Wednesday,2019-04-10,2019-04-10
NA,18641794,Shankar Samosa,NA,NA,NA,NA
NA,18903417,Chool,NA,NA,NA,NA
NA,18625823,Gulabi Nagari,NA,NA,NA,NA
NA,100756,Agarwal Sweets & Caterers,NA,NA,NA,NA
NA,102439,Muhammadi Palace,NA,NA,NA,NA
NA,100149,Kanha,NA,NA,NA,NA
334436,102695,Thali and More,https://www.zomato.com/jaipur/thali-and-more-c-scheme/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,GOOD MORNING JAIPUR,2019-04-03,2019-04-30
NA,100910,Rawat Mishthan Bhandar,NA,NA,NA,NA
NA,18733012,Fat Lulu's,NA,NA,NA,NA
NA,100611,M.M. Khan Hotel,NA,NA,NA,NA
NA,18868487,Vegetrainian,NA,NA,NA,NA
NA,18602340,Stepout Cafe,NA,NA,NA,NA
NA,101736,Kanha,NA,NA,NA,NA
NA,100148,Kanha,NA,NA,NA,NA
NA,101212,Tapri Central,NA,NA,NA,NA
NA,101777,Kanha,NA,NA,NA,NA
NA,18467090,Manuhaar,NA,NA,NA,NA
NA,18578663,Masala Ministry,NA,NA,NA,NA
